"BI.01","x","x","x","x","x",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"BI.02","x","x","x","x","x",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"BI.03","x","x","x","x","x",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"BI.04","x","x","x","x","x",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"BI.05","x","x","x","x","x",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"BI.06","x","x","x","x","x",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"BI.07","x","x","x","x","x",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"BI.08","x","x","x","x","x",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"BI.09","x","x","x","x","x",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"BI.11","x","x","x","x","x",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"BI.12","x","x","x","x","x",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"BI.13","x","x","x","x","x",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"BI.14","x","x","x","x","x",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"BI.15","x","x","x","x","x",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"BI.16","x","x","x","x","x",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"BI.17","x","x","x","x","x",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"BI.18","x","x","x","x","x",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"BI.19","x","x","x","x","x",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"BI.20","x","x","x","x","x",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"BI.21","x","x","x","x","x",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"BI.22","x","x","x","x","x",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"BI.23","x","x","x","x","x",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"BI.24","x","x","x","x","x",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"BI.25","x","x","x","x","x",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"BI.26","x","x","x","x","x",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"BI.27","x","x","x","x","x",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"BI.28","x","x","x","x","x",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"BI.29","x","x","x","x","x",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"BI.31","x","x","x","x","x",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"BI.32","x","x","x","x","x",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"BI.33","x","x","x","x","x",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"BI.36","x","x","x","x","x",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"BI.39","x","x","x","x","x",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"BI.54","x","x","x","x","x",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"BI.55","x","x","x","x","x",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"BI.56","x","x","x","x","x",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"BI.57","x","x","x","x","x",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"BI.58","x","x","x","x","x",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"BI.61","x","x","x","x","x",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"BN.01",,"x","x","x","x","x","x","x",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"BN.02",,"x","x","x","x","x","x","x",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"BN.03",,"x","x","x","x","x","x","x",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"BN.04",,"x","x","x","x","x","x","x",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"BN.05",,"x","x","x","x","x","x","x",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"BN.06",,"x","x","x","x","x","x","x",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"BN.07",,"x","x","x","x","x","x","x",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"BN.08",,"x","x","x","x","x","x","x",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"BN.09",,"x","x","x","x",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"BN.10",,"x","x","x","x","x","x","x",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"BN.11",,"x","x","x","x","x","x","x",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"BN.12",,"x","x","x","x","x","x","x",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"BN.13",,"x","x","x","x","x","x","x",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"BP.02",,"x","x","x","x","x",,,"x",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"BP.04",,"x","x","x","x","x",,,"x","x",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"BP.06",,"x","x","x","x","x",,,"x",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"BP.11",,"x","x","x","x","x",,,"x","x","x",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"FA.01",,"x","x","x","x",,,,,,,"x","x",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"FA.02",,"x","x","x","x",,,,,,,,,"x","x",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"FA.03",,"x","x","x","x",,,,,,,,"x",,,"x","x",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"FA.04",,"x","x","x","x",,,,,,,,,"x","x",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"FA.05",,"x","x","x","x",,,,,,,"x",,"x","x","x","x",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"FA.06",,"x","x","x","x","x",,,,,,"x",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"FA.07",,"x","x","x","x","x",,,,,,,,"x","x",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"FA.08",,"x","x","x","x","x",,,,,,,,,,"x","x",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"FA.13",,"x","x","x","x",,,,,,"x",,,,"x",,"x","x","x","x",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"FA.15",,"x","x","x","x",,,,,,"x",,,,"x",,"x","x","x","x","x","x",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"FA.16",,"x","x","x","x",,,,,,"x",,,,"x",,"x","x","x","x","x","x",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"FM.01",,"x","x","x","x",,,,,,"x",,,,,,,,"x",,,,"x","x",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"FM.02",,"x","x","x","x",,,,,,"x",,,,,,,,"x",,,,"x","x",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"FM.03",,"x","x","x","x",,,,,,"x",,,,,,,,,,,,"x","x",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"FM.06",,"x","x","x","x",,,,,,"x",,,,,,,,,,,,,"x",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"FM.07",,"x","x","x","x",,,,,,"x",,,,,,,,,,,,,"x",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"FM.08",,"x","x","x","x","x",,,,,,,,,,,,,,,,,,,"x","x","x","x","x",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"FM.09",,"x","x","x","x","x",,,,,,,,,,,,,,,,,,,"x","x","x","x","x",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"FM.10",,"x","x","x","x","x",,,,,,,,,,,,,,,,,,,"x","x","x","x","x",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"FM.13",,"x","x","x","x","x",,,,,,,,,,,,,,,,,,,"x","x","x","x","x",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"FM.14",,"x","x","x","x","x",,,,,,,,,,,,,,,,,,,"x","x","x","x","x",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"FM.15",,"x","x","x","x","x",,,,,,,,,,,,,,,,,,,"x","x","x","x","x",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"FM.16",,"x","x","x","x","x",,,,,,,,,,,,,,,,,,,"x","x","x","x","x",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"MS.03",,"x","x","x","x","x",,,,,,,,,,,,,,,,,,,,,,,,"x",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"OM.01",,"x","x","x","x","x",,,,,,,,,,,,,,,,,,,,,,,,"x","x",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"OM.02",,"x","x","x","x","x",,,,,,,,,,,,,,,,,,,,,,,,"x","x","x",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"OM.03",,"x","x","x","x","x",,,,,,,,,,,,,,,,,,,,,,,,"x","x","x",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"OM.04",,"x","x","x","x","x",,,,,,,,,,,,,,,,,,,,,,,,"x","x","x",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"OM.05",,"x",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"OM.06",,"x",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"OM.07",,"x","x","x","x","x",,,,,,,,,,,,,,,,,,,,,,,,"x","x","x",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"PA.01",,"x","x","x","x","x",,,,,,,,,,,,,,,,,,,,,,,,"x",,,"x","x","x","x",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"PA.02",,"x","x","x","x","x",,"x",,,,,,,,,,,,,,,,,,,,,,"x",,,"x","x",,"x",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"PA.03",,"x","x","x","x","x",,,,,,,,,,,,,,,,,,,,,,,,"x",,,"x","x",,"x","x",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"PA.04",,"x","x","x","x","x",,,,,,,,,,,,,,,,,,,,,,,,"x",,,"x","x",,"x","x","x","x",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"PA.05",,"x","x","x","x","x",,,,,,,,,,,,,,,,,,,,,,,,,,,"x","x",,,,,"x","x",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"PA.08",,"x","x","x","x","x",,"x",,,,,,,,,,,,,,,,,,,,,,"x",,,,"x",,"x","x",,"x",,"x",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"PA.09",,"x","x","x","x","x",,"x",,,,,,,,,,,,,,,,,,,,,,"x",,,,"x",,"x","x",,"x",,"x",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"PA.10",,"x","x","x","x","x",,"x",,,,,,,,,,,,,,,,,,,,,,"x",,,,"x",,"x","x",,"x",,"x",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"PA.11",,"x","x","x","x","x",,"x",,,,,,,,,,,,,,,,,,,,,,"x",,,,"x",,"x","x",,"x",,"x",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"PA.12",,"x","x","x","x","x",,"x",,,,,,,,,,,,,,,,,,,,,,"x",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"PA.13",,"x","x","x","x","x",,"x",,,,,,,,,,,,,,,,,,,,,,"x",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"PA.14",,"x","x","x","x","x",,"x",,,,,,,,,,,,,,,,,,,,,,"x",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"PA.16",,"x","x","x","x","x",,"x",,,,,,,,,,,,,,,,,,,,,,"x",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
