"LMS-2448","Umoja Distance Learning: Inbound Deliveries and Goods Receipt","The Umoja Distance Learning program offers interactive transaction-level training to users in remote locations. It includes a blend of self-study material and virtual training sessions moderated by an Umoja instructor.","Active","Logistics Execution","SC406","2017-02-03T13:23:49.160"
"LMS-1941","Umoja Equipment Write-Off and Disposal","The Umoja Equipment Write-Off and Disposal course lists the key roles and responsibilities in the Decommission and Disposal process. <LMS-1941>","Inactive","Logistics Execution","SC361","2017-02-03T13:23:49.160"
"LMS-1944","Umoja Inbound Goods Process (Receiving User)","TBD","Inactive","Logistics Execution","SC362","2017-02-03T13:23:49.160"
"LMS-1955","Umoja Create Shipments of Personal Items Request","TBD","Inactive","Travel Management","TV3146","2017-02-03T13:23:49.160"
"LMS-2246","Umoja Local Process Expert in Inspira Administration","Umoja Local Process Expert in Inspira Administration","Active","Umoja General","LPE","2017-02-03T13:23:49.160"
"LMS-1994","Umoja Academy First Level Managers Training - Functional Area Deep Dive in Financial Accounting","Umoja Academy A3 in Financial Accounting","Active","Financial Accounting","A3","2017-02-03T13:23:49.160"
"LMS-2000","Umoja ESS Tutorial on Submitting Leave","Submit annual leave and similar leave for reverse education grant travel, home leave, family visit, CTO use and compressed regular day off. <LMS-2000>","Active","Tutorials","Tutorial","2017-02-03T13:23:49.160"
"LMS-2004","Umoja MSS Tutorial on Assigning a Secondary Time Manager","TBD","Active","Tutorials","Tutorial","2017-02-03T13:23:49.160"
"LMS-2273","Umoja Distance Learning: Service Entry Sheets","The Umoja Distance Learning program offers interactive transaction-level training to users in remote locations. It includes a blend of self-study material and virtual training sessions moderated by an Umoja instructor.","Active","Source to Acquire","Umoja","2017-02-03T13:23:49.160"
"LMS-1754","Umoja Travel for HR Partner (on behalf role)","TBD","Inactive","Human Resources Administration","Umoja Trav","2017-02-03T13:23:49.160"
"LMS-1756","Umoja Integration Pilot: Employee Self-Service (ESS) - Time Management","TBD","Inactive","ESS / MSS","Umoja Empl","2017-02-03T13:23:49.160"
"LMS-1766","Umoja Integrated Pilot: Administration of Uniformed Personnel","TBD","Inactive","Human Resources Administration","Umoja Time","2017-02-03T13:23:49.160"
"LMS-1529","Umoja Requesting Services of Consultants and IC's Process","Umoja Requesting Services of Consultants and Independent Contractors outlines the key roles and responsibilities involved in the Requesting Services for Consultants and Independent Contractors process. <LMS-1529>","Active","Human Resources Administration","SC341","2017-02-03T13:23:49.160"
"LMS-1932","Umoja Equipment Management","The purpose of the Umoja Equipment Management course is to explain the equipment assignment and management process in Umoja. <LMS-1932>","Inactive","Services Delivery and Property Management","SC335","2017-02-03T13:23:49.160"
"LMS-1934","Umoja Corrective Maintenance","The purpose of the Umoja Corrective Maintenance course is to explain the process to carry out one-time maintenance of equipment and functional location. <LMS-1934>","Inactive","Services Delivery and Property Management","SC337","2017-02-03T13:23:49.160"
"LMS-1936","Umoja Business Partner – Third Party","TBD","Inactive","Master Data Management","MD347","2017-02-03T13:23:49.160"
"LMS-1937","Umoja Business Partner – Commercial Maintenance","The purpose of the Umoja Business Partner – UNGM Maintenance course to explain the Master Data maintenance activities related to commercial Business Partners (BP’s) migrated from United Nations Global Marketplace (UNGM) to Umoja. <LMS-1937>","Inactive","Master Data Management","MD349","2017-02-03T13:23:49.160"
"LMS-1945","Umoja Inventory Counting and Controlling (Warehouse Management)","TBD","Inactive","Logistics Execution","SC363","2017-02-03T13:23:49.160"
"LMS-1950","Umoja Accounts Receivable for Services Delivery","TBD","Inactive","Financial Accounting","SD374","2017-02-03T13:23:49.160"
"LMS-1953","Umoja Create Travel Request – HR Travel and Entitlements","TBD","Inactive","Travel Management","TV3144","2017-02-03T13:23:49.160"
"LMS-1954","Umoja Create Travel Request for Uniformed Personnel","The Create Travel Request for Uniformed Personnel course provides participants with the knowledge necessary to: create a travel request for group travel, submit a claim, and create the associated expense report. <LMS-1954>","Active","Travel Management","TV3145","2017-02-03T13:23:49.160"
"LMS-1959","Umoja Travel Finance Integration","The purpose of this course is to provide participants with an overview of the Travel Expense and Finance Integration, including Processing Expense Reports, Reviewing Postings and Special Payments.
 <LMS-1959>","Active","Travel Management","TV3150","2017-02-03T13:23:49.160"
"LMS-1772","Umoja Organizational Management for HR Partners","TBD","Inactive","Organizational Management","Umoja Orga","2017-02-03T13:23:49.160"
"LMS-1775","Umoja Property Management Overview","The Umoja Property Management Overview course provides a high-level introduction to the  Property Management module in Umoja. <LMS-1775>","Active","Services Delivery and Property Management","SC119","2017-02-03T13:23:49.160"
"LMS-2108","Umoja Global Index Number Requestor","Umoja Global Index number Requestor","Inactive","Human Resources Administration","HR GINR","2017-02-03T13:23:49.160"
"LMS-2109","Umoja Academy Local Process Expert Train-the-Trainer in Financial Accounting","Umoja Academy Local Process Expert Train-the-Trainer in Financial Accounting","Active","Financial Accounting","LPET","2017-02-03T13:23:49.160"
"LMS-2110","Umoja Academy Local Process Expert Train-the-Trainer in Funds and Cost Management","Umoja Academy Local Process Expert Train-the-Trainer in Funds and Cost Management","Active","Funds and Cost Management","LPET","2017-02-03T13:23:49.160"
"LMS-2113","Umoja Academy Local Process Expert Train-the-Trainer in Logistics Execution","Umoja Academy Local Process Expert Train-the-Trainer in Logistics Execution","Active","Logistics Execution","LPET","2017-02-03T13:23:49.160"
"LMS-2114","Umoja Academy Local Process Expert Training in Organizational Management","Local Process Expert Train-the-Trainer in Organizational Management","Active","Organizational Management","LPE","2017-02-03T13:23:49.160"
"LMS-1336","Umoja Master Data & Coding Block  Overview","Umoja Master and Data Coding Block Overview will introduce the concept and benefits of master data and explain the difference between master and transactional data. <LMS-1336>","Active","Umoja Introduction","NA102","2017-02-03T13:23:49.160"
"LMS-1778","Umoja Integration Pilot: Payroll - Data Maintainer & Administrator","TBD","Inactive","Payroll and Benefits Management","Umoja Inte","2017-02-03T13:23:49.160"
"LMS-2001","Umoja ESS Tutorial on Certifying Monthly Attendance and Absence","This tutorial explains the employee self service process for the certification of monthly attendance and absence. <LMS-2001>","Active","Tutorials","Tutorial","2017-02-03T13:23:49.160"
"LMS-2036","Umoja Core Trainer in Logistics Execution","TBD","Active","Logistics Execution","PE","2017-02-03T13:23:49.160"
"LMS-2085","Umoja Process Expert in Services Delivery","TBD","Active","Services Delivery and Property Management","PE","2017-02-03T13:23:49.160"
"LMS-2091","Umoja Process Expert in Facilities and Fixed Asset Management","TBD","Active","Facilities and Fixed Asset Management","PE","2017-02-03T13:23:49.160"
"LMS-2094","Umoja Process Expert in Human Resource Administration ","TBD","Active","Human Resources Administration","PE","2017-02-03T13:23:49.160"
"LMS-2095","Umoja Process Expert in Logistics Execution ","TBD","Active","Logistics Execution","PE","2017-02-03T13:23:49.160"
"LMS-2096","Umoja Process Expert in Property Management","TBD","Active","Services Delivery and Property Management","PE","2017-02-03T13:23:49.160"
"LMS-2101","Umoja Process Expert in Travel Management","TBD","Active","Travel Management","PE","2017-02-03T13:23:49.160"
"LMS-2202","Umoja Manager Self Service (MSS) Training","Umoja Manager Self Service (MSS) Training","Active","ESS / MSS","MSS","2017-02-03T13:23:49.160"
"LMS-1915","Umoja Grants Management - Framework I  ToT","Umoja Grants Management - Framework I Train the Trainer ILT","Inactive","Grants and Project Management","LPET","2017-02-03T13:23:49.160"
"LMS-2140","Umoja Academy Local Process Expert Train-the-Trainer for ESS/MSS Focal Points","Umoja Academy Local Process Expert Train-the-Trainer for ESS/MSS Focal Points","Active","ESS / MSS","LPET","2017-02-03T13:23:49.160"
"LMS-2144","Umoja Academy Local Process Expert Train-the-Trainer Course in Human Resource Administration","Umoja Academy Local Process Expert Train-the-Trainer Course in Human Resource Administration","Active","Human Resources Administration","LPET","2017-02-03T13:23:49.160"
"LMS-2153","Umoja Process Expert in Financial Accounting - Closing ","TBD","Active","Financial Accounting","PE","2017-02-03T13:23:49.160"
"LMS-1744","Umoja Integration Pilot: Employer Self Service HR Training","TBD","Inactive","ESS / MSS","Umoja Inte","2017-02-03T13:23:49.160"
"LMS-1749","Umoja Integration Pilot:  HR Pre-Boarding","Create Index Number and Pre-Boarding","Inactive","Human Resources Administration","HR","2017-02-03T13:23:49.160"
"LMS-1972","Umoja Bank Reconciliation ToT","Umoja Bank Reconciliation Train the Trainer ILT","Inactive","Financial Accounting","LPET","2017-02-03T13:23:49.160"
"LMS-1974","Umoja Accounts Receivable for Services Delivery","TBD","Active","Financial Accounting","FI374","2017-02-03T13:23:49.160"
"LMS-1978","Umoja Academy Local Process Expert Power User Training in Business Intelligence","Umoja Academy Local Process Expert Power User Training in Business Intelligence","Active","Business Intelligence","LPE","2017-02-03T13:23:49.160"
"LMS-1981","Umoja Training for Staff","Umoja Training for ECA staff based on three mandatory CBT courses","Active",,"Umoja-ECA","2017-02-03T13:23:49.160"
"LMS-1983","Umoja Write-off and Disposal","TBD","Inactive","Services Delivery and Property Management","PM361","2017-02-03T13:23:49.160"
"LMS-1730","Umoja Integration Pilot:  Separation W/ Break in Service","TBD","Inactive","Human Resources Administration","Separation","2017-02-03T13:23:49.160"
"LMS-1724","Umoja Integration Pilot: Time Management Overview","Create Absence Requests, Maternity Leave, OT, CTO, Special Leave","Inactive","Human Resources Administration","Umoja Inte","2017-02-03T13:23:49.160"
"LMS-1748","Umoja Integration Pilot: Umoja HR Processes for Uniformed Personnel","TBD","Inactive","Human Resources Administration","HR Process","2017-02-03T13:23:49.160"
"LMS-1794","Umoja Academy Local Process Expert Training in Plant Maintenance, Nairobi, Kenya","Umoja Academy - Plant Maintenance","Inactive","Services Delivery and Property Management","LPE","2017-02-03T13:23:49.160"
"LMS-1785","Umoja Integration Pilot: Employee Self Service Overview Train-the-Trainer Course","Umoja Integration Pilot ESS TTT","Inactive","ESS / MSS","ESS TTT","2017-02-03T13:23:49.160"
"LMS-1758","Umoja Integration Pilot: Assignment of PR Staff to with Temporary Promotion","TBD","Inactive","Human Resources Administration","Umoja Gene","2017-02-03T13:23:49.160"
"LMS-1797","Umoja Academy Local Process Expert Training in Source to Acquire, Nairobi, Kenya","TBD","Inactive","Source to Acquire","LPE","2017-02-03T13:23:49.160"
"LMS-1808","Umoja Academy Local Process Expert Training in Grants and Project Management","Umoja Academy LPE Certification","Active","Grants and Project Management","LPE","2017-02-03T13:23:49.160"
"LMS-2181","Umoja Distance Learning for Services Delivery Including Property Management","Umoja Distance Learning for Services Delivery and Property Management","Inactive","Services Delivery and Property Management","SD 401","2017-02-03T13:23:49.160"
"LMS-2186","Umoja HR Partner Course (FPD)","The HR partner course provides a comprehensive overview of all transactions that the HR partner will need to conduct in Umoja in the areas of personnel administration, entitlements, time, HR and Entitlement travel. Managed by FPD/DFS","Active","Human Resources Administration","UmojaHRFPD","2017-02-03T13:23:49.160"
"LMS-2076","Umoja Process Expert in Financial Accounting","TBD","Active","Financial Accounting","PE","2017-02-03T13:23:49.160"
"LMS-2087","Umoja Process Expert in Treasury and Cash Management","TBD","Active","Treasury and Cash Management","PE","2017-02-03T13:23:49.160"
"LMS-2088","Umoja Process Expert in Travel Management","TBD","Active","Travel Management","PE","2017-02-03T13:23:49.160"
"LMS-2089","Umoja Process Expert in Financial Accounting ","TBD","Active","Financial Accounting","PE","2017-02-03T13:23:49.160"
"LMS-2090","Umoja Process Expert in Payroll and Benefits Management","TBD","Active","Payroll and Benefits Management","PE","2017-02-03T13:23:49.160"
"LMS-2100","Umoja Process Expert in Treasury and Cash Management ","TBD","Active","Treasury and Cash Management","PE","2017-02-03T13:23:49.160"
"LMS-2112","Umoja Academy Local Process Expert Train-the-Trainer in Property Management","Umoja Academy Local Process Expert Train-the-Trainer in Property Management","Active",,"UA LPET PM","2017-02-03T13:23:49.160"
"LMS-1304","Umoja General Ledger Process","Umoja General Ledger process introduces the business process associated with General Ledger and how the Umoja solution will support this process. <LMS-1304>","Active","Financial Accounting","FI308","2017-02-03T13:23:49.160"
"LMS-1325","Umoja Solicitations","Umoja Solicitations explains how to use the Supplier Relationship Management (SRM) portal to support activities around solicitations. <LMS-1325>","Active","Source to Acquire","SC319","2017-02-03T13:23:49.160"
"LMS-1988","Umoja Academy Local Process Expert Training in Plant Maintenance","Umoja Academy LPE in Plant Maintenance","Active","Services Delivery and Property Management","LPE","2017-02-03T13:23:49.160"
"LMS-2201","Umoja Core Trainer in Travel Finance Integration","TBD","Active","Travel Management","PE","2017-02-03T13:23:49.160"
"LMS-2043","Umoja Local Process Expert Trainer in Financial Accounting","TBD","Active","Financial Accounting","LPET","2017-02-03T13:23:49.160"
"LMS-2045","Umoja Local Process Expert Trainer in Fixed Asset Management ","TBD","Active","Asset Accounting","LPET","2017-02-03T13:23:49.160"
"LMS-2049","Umoja Local Process Expert Trainer in Logistics Execution","TBD","Active","Logistics Execution","LPET","2017-02-03T13:23:49.160"
"LMS-2050","Umoja Local Process Expert Trainer in Property Management","TBD","Active","Services Delivery and Property Management","LPET","2017-02-03T13:23:49.160"
"LMS-2051","Umoja Local Process Expert Trainer in Real Estate","TBD","Active","Real Estate","LPET","2017-02-03T13:23:49.160"
"LMS-2062","Umoja Local Process Expert Trainer-of-Trainers in Fixed Asset Management","TBD","Active","Asset Accounting","PE","2017-02-03T13:23:49.160"
"LMS-2466","Umoja Source to Acquire End to End","This course provides a high level overview of the entire Source to Acquire process from beginning to end","Active","Source to Acquire","SA Overvie","2017-02-03T13:23:49.160"
"LMS-1380","Umoja Accounts Receivable Process ToT","Umoja Accounts Receivable Process Train the Trainer ILT","Inactive","Financial Accounting","LPET","2017-02-03T13:23:49.160"
"LMS-1946","Umoja Assets Under Construction","The purpose of the Assets under Construction (AuC) Course is to provide an end-to-end instruction and various scenarios for the Asset under Construction process.  <LMS-1946>","Active","Asset Accounting","PJ370","2017-02-03T13:23:49.160"
"LMS-1528","Umoja Services to Public and Staff ToT","TBD","Inactive","Services Delivery and Property Management","LPET","2017-02-03T13:23:49.160"
"LMS-1530","Umoja Requesting Services of Consultants and Independent Contractors ToT","Umoja Requesting Services of Consultants and Independent Contractors Train the Trainer ILT","Inactive","Human Resources Administration","SC541","2017-02-03T13:23:49.160"
"LMS-1779","Umoja Integration Pilot: Payroll - Master Data Maintenance","TBD","Inactive","Master Data Management","Umoja Inte","2017-02-03T13:23:49.160"
"LMS-1781","Umoja Integration Pilot: Payroll Process Overview","TBD","Inactive","Payroll and Benefits Management","Umoja Inte","2017-02-03T13:23:49.160"
"LMS-1755","Umoja Integration Pilot: Reappointment w/o Break in Service (FT) / Reassignment Same DS","TBD","Inactive","Human Resources Administration","Umoja Reap","2017-02-03T13:23:49.160"
"LMS-1723","Umoja Onboarding Temp Appointments/Extension of Temp. Appoints","TBD","Inactive","Human Resources Administration","Temp. App.","2017-02-03T13:23:49.160"
"LMS-1757","Umoja Integration Pilot: Education Grant Advance and Claims Processing in ECC","TBD","Inactive","Human Resources Administration","Umoja EG","2017-02-03T13:23:49.160"
"LMS-1787","Umoja Integration Pilot: Employee Self-Service Travel Request and Travel Claims Training the Trainers","Umoja Integration Pilot","Inactive","Human Resources Administration","LPET","2017-02-03T13:23:49.160"
"LMS-1287","UMOJA Generic Course","TBD","Active",,"UMOJA Gene","2017-02-03T13:23:49.160"
"LMS-1291","Umoja General Ledger - Master Data Maintenance","TBD","Inactive","Master Data Management","UmGenL","2017-02-03T13:23:49.160"
"LMS-1293","Umoja Bank Management - Master Data Maintenance","TBD","Inactive","Master Data Management","UmBanMaMDM","2017-02-03T13:23:49.160"
"LMS-1297","Umoja Production Planning and Execution ToT","TBD","Inactive","Logistics Execution","UmPrPlEToT","2017-02-03T13:23:49.160"
"LMS-1301","Umoja Customer, Vendor, and Material - Master Data Maintenance","TBD","Inactive","Master Data Management","UmCuVeMMDM","2017-02-03T13:23:49.160"
"LMS-1302","Umoja Earmarked Funds","TBD","Inactive","Funds and Cost Management","FI310","2017-02-03T13:23:49.160"
"LMS-1305","Umoja Budget Implementation","TBD","Inactive","Funds and Cost Management","FI313","2017-02-03T13:23:49.160"
"LMS-1324","Umoja Payment Processing (Cashiers)","Umoja Payment Processing describes how to process incoming and outgoing payments for cash or cheque receipts.   <LMS-1324>","Active","Treasury and Cash Management","FI322","2017-02-03T13:23:49.160"
"LMS-1337","Umoja General Ledger Overview","TBD","Inactive","Financial Accounting","FI103","2017-02-03T13:23:49.160"
"LMS-1342","Umoja Cost and Management Accounting Overview","Umoja Cost and Management Accounting Overview defines Cost Accounting within the Umoja solution, and identifies the key roles and responsibilities of those contributing to the process. <LMS-1342>","Active","Funds and Cost Management","FI108","2017-02-03T13:23:49.160"
"LMS-1369","Umoja Cash and Liquidity Management ToT","TBD","Inactive","Treasury and Cash Management","LPET","2017-02-03T13:23:49.160"
"LMS-1289","Umoja Advanced BI Navigation","The course explains how to access Online Analytical Processing (OLAP) reports.  It details the steps to define, modify, add and delete an analysis within an OLAP report, and the steps to add and customize charts within an OLAP report. <LMS-1289>","Active","Umoja Navigation","NV301","2017-02-03T13:23:49.160"
"LMS-1331","Umoja Investment Accounting","TBD","Active","Asset Accounting","FI331","2017-02-03T13:23:49.160"
"LMS-1335","Umoja Overview","Umoja Overview is designed to be introductory in nature. This course will discuss the benefits, governance structure, and changes occurring as a result of Umoja. <LMS-1335>","Active","Umoja Introduction","NA101","2017-02-03T13:23:49.160"
"LMS-1341","Umoja Project Management  Overview","TBD","Inactive",,"UmProjManO","2017-02-03T13:23:49.160"
"LMS-1360","Umoja Security - User Provisioning and Identity Management (IdM)","TBD","Inactive","Security","SEC303","2017-02-03T13:23:49.160"
"LMS-1362","Umoja General Ledger Process ToT","Umoja General Ledger Process Train the Trainer ILT","Inactive","Financial Accounting","LPET","2017-02-03T13:23:49.160"
"LMS-1364","Umoja Budget Distribution ToT","Umoja Budget Distribution Train the Trainer ILT","Inactive","Funds and Cost Management","LPET","2017-02-03T13:23:49.160"
"LMS-1367","Umoja Project Management Process ToT","Umoja Project Management Process Train the Trainer ILT","Inactive","Grants and Project Management","LPET","2017-02-03T13:23:49.160"
"LMS-1372","Umoja Receiving Process ToT","TBD","Inactive","Financial Accounting","LPET","2017-02-03T13:23:49.160"
"LMS-1376","Umoja Real Estate Portfolio Management ToT","TBD","Inactive","Real Estate","LPET","2017-02-03T13:23:49.160"
"LMS-1378","Umoja Contracts and PO Creation ToT","TBD","Inactive","Source to Acquire","LPET","2017-02-03T13:23:49.160"
"LMS-1379","Umoja Sales Order Processing ToT","TBD","Inactive","Services Delivery and Property Management","LPET","2017-02-03T13:23:49.160"
"LMS-1314","Umoja Equipment Decomission","TBD","Inactive","Logistics Execution","UmEquipDec","2017-02-03T13:23:49.160"
"LMS-1315","Umoja Equipment Management","TBD","Inactive","Logistics Execution","UmEquipMa","2017-02-03T13:23:49.160"
"LMS-1317","Umoja Production Planning and Execution","TBD","Inactive","Logistics Execution","UmProPlExe","2017-02-03T13:23:49.160"
"LMS-1322","Umoja Inbound Goods Process (Peacekeeping)","This course is to train end users on how to support the Inbound Goods process using the Umoja ECC system.  This is an interim process applicable to Peacekeeping and SPMs during coexistence of the Umoja and Galileo systems <LMS-1322>","Active","Logistics Execution","SC320","2017-02-03T13:23:49.160"
"LMS-1329","Umoja Real Estate Portfolio Management","TBD","Inactive","Real Estate","CS325","2017-02-03T13:23:49.160"
"LMS-1288","UMOJA Generic eLearning Course","TBD","Active",,"UMOJAGeELe","2017-02-03T13:23:49.160"
"LMS-1292","Umoja Treasury and Risk Management - Master Data Maintenance","TBD","Inactive","Master Data Management","UmTrRiMMDM","2017-02-03T13:23:49.160"
"LMS-1294","Umoja Equipment Decomission ToT","TBD","Inactive","Logistics Execution","LPET","2017-02-03T13:23:49.160"
"LMS-1296","Umoja Equipment Operations ToT","TBD","Inactive","Logistics Execution","LPET","2017-02-03T13:23:49.160"
"LMS-1298","Umoja Inventory Management ToT","TBD","Inactive","Logistics Execution","LPET","2017-02-03T13:23:49.160"
"LMS-1300","Umoja Cost Accounting - Master Data Maintenance","TBD","Inactive","Master Data Management","UmCosMaDaM","2017-02-03T13:23:49.160"
"LMS-1309","Umoja Cash and Liquidity Management","Umoja Cash and Liquidity Management outlines the different Cash Position tools and how they integrate with the Umoja solution. <LMS-1309>","Inactive","Treasury and Cash Management","FI316","2017-02-03T13:23:49.160"
"LMS-1334","Umoja Period and Year End Closing","TBD","Inactive","Financial Accounting","FI334","2017-02-03T13:23:49.160"
"LMS-1346","Umoja Logistics Overview (Peacekeeping)","Umoja Logistics Overview describes the high-level Inbound Goods Process in Umoja. <LMS-1346>","Active","Logistics Execution","SC112","2017-02-03T13:23:49.160"
"LMS-1347","Umoja Accounts Payable Overview","The course identifies the important changes occurring as a result of the Umoja solution and discusses the impact these changes will have on this process. This course describes the park and post functionality, and the 3-way matching process. <LMS-1347>","Active","Financial Accounting","FI113","2017-02-03T13:23:49.160"
"LMS-1351","Umoja Period and Year End Closing Overview","TBD","Inactive","Financial Accounting","FI117","2017-02-03T13:23:49.160"
"LMS-1353","Umoja Plant Maintenance - Overview","Umoja Plant Maintenance Overview course provides a high-level introduction to the Plant Maintenance module in Umoja.","Inactive","Services Delivery and Property Management","UmPlanMaiO","2017-02-03T13:23:49.160"
"LMS-1359","Umoja Security Administration in  GRC","TBD","Inactive","Security","UmSeAdGToT","2017-02-03T13:23:49.160"
"LMS-1371","Umoja Solicitations ToT","TBD","Inactive","Source to Acquire","LPET","2017-02-03T13:23:49.160"
"LMS-1374","Umoja Payment Processing ToT","TBD","Inactive","Treasury and Cash Management","LPET","2017-02-03T13:23:49.160"
"LMS-1381","Umoja Asset Accounting Process ToT","Umoja Asset Accounting Process Train the Trainer ILT","Inactive","Asset Accounting","LPET","2017-02-03T13:23:49.160"
"LMS-1290","Umoja Funds Management - Master Data Maintenance","TBD","Inactive","Master Data Management","UmFuManMDM","2017-02-03T13:23:49.160"
"LMS-1295","Umoja Equipment Management ToT","TBD","Inactive","Logistics Execution","LPET","2017-02-03T13:23:49.160"
"LMS-1299","Umoja Inbound Goods Process ToT","Umoja Inbound Goods Process Train the Trainer ILT","Inactive","Logistics Execution","LPET","2017-02-03T13:23:49.160"
"LMS-1318","Umoja Inventory Management","TBD","Inactive","Logistics Execution","UmInvenMan","2017-02-03T13:23:49.160"
"LMS-1321","Umoja Lease Administration","TBD","Inactive","Real Estate","CS404","2017-02-03T13:23:49.160"
"LMS-1340","Umoja Grants Management Overview","Umoja Grants Management Overview lists the key roles and responsibilities involved in the GM process and describes the key changes and benefits of Umoja GM. <LMS-1340>","Active","Grants and Project Management","FI106","2017-02-03T13:23:49.160"
"LMS-1357","Umoja Requisitioning and Procurement Approvals","This course will explain the concept of Workflow Approvals and key responsibilities throughout the process. Users will be able to monitor the Universal Worklist for required approvals and approve a shopping cart, RFX document or Contract.","Inactive","Source to Acquire","SC323","2017-02-03T13:23:49.160"
"LMS-1361","Umoja Advanced BI Navigation ToT","TBD","Inactive","Umoja Navigation","LPET","2017-02-03T13:23:49.160"
"LMS-1373","Umoja Accounts Payable Process ToT","Umoja Accounts Payable Process Train the Trainer ILT","Inactive","Financial Accounting","LPET","2017-02-03T13:23:49.160"
"LMS-1377","Umoja Low Value Acquisitions ToT","TBD","Inactive","Source to Acquire","SC526","2017-02-03T13:23:49.160"
"LMS-1307","Umoja Project Management Process","Umoja Project Management details the project management process in Umoja.  The course lists the key roles and responsibilities involved in the Project Management Process.  <LMS-1307>","Active","Grants and Project Management","PJ315","2017-02-03T13:23:49.160"
"LMS-1319","Umoja Logistics Execution","TBD","Inactive","Logistics Execution","UmLogisExe","2017-02-03T13:23:49.160"
"LMS-1327","Umoja Low Value Acquisitions","Umoja Low Value Acquisitions explains when and for what purpose Low Value Acquisitions are used and details how to create a Low Value Acquisition. <LMS-1327>","Active","Source to Acquire","SC326","2017-02-03T13:23:49.160"
"LMS-1328","Umoja Contract and PO Creation","Umoja Contract Management explains how to create a Purchase Order from a Shopping Cart or Solicitation, and outlines how to create a Contract from a Solicitation. 
<LMS-1328>","Active","Source to Acquire","SC328","2017-02-03T13:23:49.160"
"LMS-1349","Umoja Accounts Receivable Overview","This course defines the high-level process, roles within the process and the interactions between the Accounts Receivable process and other business areas within Umoja. <LMS-1349>","Active","Financial Accounting","FI115","2017-02-03T13:23:49.160"
"LMS-1358","Umoja Memorandum Of Understanding","TBD","Active",,"UmMemoOUnd","2017-02-03T13:23:49.160"
"LMS-1363","Umoja Budget Distribution ToT","Umoja Budget Distribution Train the Trainer ILT","Inactive","Funds and Cost Management","LPET","2017-02-03T13:23:49.160"
"LMS-1368","Umoja Cost and Management Accounting Process ToT","Umoja Cost and Management Accounting Process Train the Trainer ILT","Inactive","Funds and Cost Management","LPET","2017-02-03T13:23:49.160"
"LMS-1370","Umoja Requisitioning ToT","TBD","Inactive","Source to Acquire","LPET","2017-02-03T13:23:49.160"
"LMS-1382","Umoja Period and Year End Closing ToT","TBD","Inactive","Financial Accounting","LPET","2017-02-03T13:23:49.160"
"LMS-1316","Umoja Equipment Operations","TBD","Inactive","Logistics Execution","UmEquipOpe","2017-02-03T13:23:49.160"
"LMS-1338","Umoja Funds Management Overview","Umoja Funds Management Overview examines the Funds Management process and integration points with other areas of finance. <LMS-1338>","Active","Funds and Cost Management","FI104","2017-02-03T13:23:49.160"
"LMS-1365","Umoja Budget Implementation ToT","Umoja Budget Implementation Train the Trainer ILT","Inactive","Funds and Cost Management","LPET","2017-02-03T13:23:49.160"
"LMS-1366","Umoja Grants Management ToT","TBD","Inactive","Grants and Project Management","LPET","2017-02-03T13:23:49.160"
"LMS-1375","Umoja Lease Administration ToT","TBD","Inactive","Real Estate","LPET","2017-02-03T13:23:49.160"
"LMS-1487","Umoja Requisitioning and Procurement Approvals","This course will explain the concept of Workflow Approvals and key responsibilities throughout the process. Users will be able to monitor the Universal Worklist for required approvals and approve a shopping cart, RFX document or Contract. <LMS-1487>","Active","Source to Acquire","SC323","2017-02-03T13:23:49.160"
"LMS-1498","Umoja Managing Consultants/IC Service - How to Guide","Umoja Managing Consultants/IC Service - How to Guide","Inactive","Human Resources Administration","Umoja Mana","2017-02-03T13:23:49.160"
"LMS-1499","Umoja Sales and Distribution - How to Guide","Umoja Sale","Inactive",,"Umoja Sale","2017-02-03T13:23:49.160"
